Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIM,HR,CPM,TIME,HR,CPM,
2019-06-12 11-00-51,141,0,2019-06-12 11-00-51,141,0,2019-06-12 11-00-51,143,0,2019-06-12 11-00-51,138,0,
2019-06-12 11-00-52,141,0,2019-06-12 11-00-52,141,0,2019-06-12 11-00-52,145,0,2019-06-12 11-00-52,141,0,
2019-06-12 11-00-53,141,0,2019-06-12 11-00-53,141,0,2019-06-12 11-00-53,144,0,2019-06-12 11-00-53,141,0,
2019-06-12 11-00-54,141,0,2019-06-12 11-00-54,141,0,2019-06-12 11-00-54,145,0,2019-06-12 11-00-54,144,0,
2019-06-12 11-00-55,141,0,2019-06-12 11-00-55,141,0,2019-06-12 11-00-55,144,0,2019-06-12 11-00-55,143,0,
2019-06-12 11-00-56,144,0,2019-06-12 11-00-56,143,0,2019-06-12 11-00-56,146,0,2019-06-12 11-00-56,145,0,
2019-06-12 11-00-57,143,0,2019-06-12 11-00-57,143,0,2019-06-12 11-00-57,145,0,2019-06-12 11-00-57,144,0,
2019-06-12 11-00-58,143,0,2019-06-12 11-00-58,143,0,2019-06-12 11-00-58,145,0,2019-06-12 11-00-58,144,0,
2019-06-12 11-00-59,142,0,2019-06-12 11-00-59,142,0,2019-06-12 11-00-59,144,0,2019-06-12 11-00-59,143,0,
2019-06-12 11-01-00,142,0,2019-06-12 11-01-00,142,0,2019-06-12 11-01-00,143,0,2019-06-12 11-01-00,143,0,
2019-06-12 11-01-01,142,0,2019-06-12 11-01-01,142,0,2019-06-12 11-01-01,143,0,2019-06-12 11-01-01,143,0,
2019-06-12 11-01-02,142,0,2019-06-12 11-01-02,142,0,2019-06-12 11-01-02,142,0,2019-06-12 11-01-02,142,0,
2019-06-12 11-01-03,141,0,2019-06-12 11-01-03,141,0,2019-06-12 11-01-03,141,0,2019-06-12 11-01-03,141,0,
2019-06-12 11-01-04,141,0,2019-06-12 11-01-04,141,0,2019-06-12 11-01-04,140,0,2019-06-12 11-01-04,140,0,
2019-06-12 11-01-05,141,0,2019-06-12 11-01-05,141,0,2019-06-12 11-01-05,140,0,2019-06-12 11-01-05,141,0,
2019-06-12 11-01-06,141,0,2019-06-12 11-01-06,141,0,2019-06-12 11-01-06,141,0,2019-06-12 11-01-06,141,0,
2019-06-12 11-01-07,141,0,2019-06-12 11-01-07,141,0,2019-06-12 11-01-07,141,0,2019-06-12 11-01-07,141,0,
2019-06-12 11-01-08,141,0,2019-06-12 11-01-08,141,0,2019-06-12 11-01-08,141,0,2019-06-12 11-01-08,141,0,
2019-06-12 11-01-09,141,0,2019-06-12 11-01-09,141,0,2019-06-12 11-01-09,141,0,2019-06-12 11-01-09,141,0,
2019-06-12 11-01-10,141,0,2019-06-12 11-01-10,141,0,2019-06-12 11-01-10,141,0,2019-06-12 11-01-10,141,0,
2019-06-12 11-01-11,141,0,2019-06-12 11-01-11,141,0,2019-06-12 11-01-11,141,0,2019-06-12 11-01-11,141,0,
2019-06-12 11-01-12,141,0,2019-06-12 11-01-12,141,0,2019-06-12 11-01-12,141,0,2019-06-12 11-01-12,140,0,
2019-06-12 11-01-13,140,0,2019-06-12 11-01-13,141,0,2019-06-12 11-01-13,140,0,2019-06-12 11-01-13,140,0,
2019-06-12 11-01-14,142,0,2019-06-12 11-01-14,143,0,2019-06-12 11-01-14,142,0,2019-06-12 11-01-14,140,0,
2019-06-12 11-01-15,142,0,2019-06-12 11-01-15,143,0,2019-06-12 11-01-15,142,0,2019-06-12 11-01-15,141,0,
2019-06-12 11-01-16,141,0,2019-06-12 11-01-16,143,0,2019-06-12 11-01-16,142,0,2019-06-12 11-01-16,143,0,
2019-06-12 11-01-17,141,0,2019-06-12 11-01-17,142,0,2019-06-12 11-01-17,144,0,2019-06-12 11-01-17,143,0,
2019-06-12 11-01-18,140,0,2019-06-12 11-01-18,142,0,2019-06-12 11-01-18,143,0,2019-06-12 11-01-18,144,0,
2019-06-12 11-01-19,139,0,2019-06-12 11-01-19,142,0,2019-06-12 11-01-19,145,0,2019-06-12 11-01-19,144,0,
2019-06-12 11-01-20,138,0,2019-06-12 11-01-20,141,0,2019-06-12 11-01-20,144,0,2019-06-12 11-01-20,145,0,
2019-06-12 11-01-21,138,0,2019-06-12 11-01-21,141,0,2019-06-12 11-01-21,145,0,2019-06-12 11-01-21,145,0,
2019-06-12 11-01-22,139,0,2019-06-12 11-01-22,141,0,2019-06-12 11-01-22,144,0,2019-06-12 11-01-22,146,0,
2019-06-12 11-01-23,140,0,2019-06-12 11-01-23,141,0,2019-06-12 11-01-23,144,0,2019-06-12 11-01-23,146,0,
2019-06-12 11-01-24,143,0,2019-06-12 11-01-24,143,0,2019-06-12 11-01-24,143,0,2019-06-12 11-01-24,147,0,
2019-06-12 11-01-25,142,0,2019-06-12 11-01-25,145,0,2019-06-12 11-01-25,144,0,2019-06-12 11-01-25,147,0,
2019-06-12 11-01-26,144,0,2019-06-12 11-01-26,145,0,2019-06-12 11-01-26,145,0,2019-06-12 11-01-26,147,0,
2019-06-12 11-01-27,145,0,2019-06-12 11-01-27,146,0,2019-06-12 11-01-27,146,0,2019-06-12 11-01-27,149,0,
2019-06-12 11-01-28,146,0,2019-06-12 11-01-28,146,0,2019-06-12 11-01-28,146,0,2019-06-12 11-01-28,149,0,
2019-06-12 11-01-29,146,0,2019-06-12 11-01-29,146,0,2019-06-12 11-01-29,146,0,2019-06-12 11-01-29,148,0,
2019-06-12 11-01-30,146,0,2019-06-12 11-01-30,145,0,2019-06-12 11-01-30,146,0,2019-06-12 11-01-30,148,0,
2019-06-12 11-01-31,146,0,2019-06-12 11-01-31,146,0,2019-06-12 11-01-31,146,0,2019-06-12 11-01-31,148,0,
2019-06-12 11-01-32,145,0,2019-06-12 11-01-32,146,0,2019-06-12 11-01-32,146,0,2019-06-12 11-01-32,148,0,
2019-06-12 11-01-33,146,0,2019-06-12 11-01-33,146,0,2019-06-12 11-01-33,146,0,2019-06-12 11-01-33,147,0,
2019-06-12 11-01-34,145,0,2019-06-12 11-01-34,146,0,2019-06-12 11-01-34,146,0,2019-06-12 11-01-34,147,0,
2019-06-12 11-01-35,146,0,2019-06-12 11-01-35,146,0,2019-06-12 11-01-35,146,0,2019-06-12 11-01-35,147,0,
2019-06-12 11-01-36,146,0,2019-06-12 11-01-36,146,0,2019-06-12 11-01-36,146,0,2019-06-12 11-01-36,149,0,
2019-06-12 11-01-37,146,0,2019-06-12 11-01-37,146,0,2019-06-12 11-01-37,146,0,2019-06-12 11-01-37,148,0,
2019-06-12 11-01-38,146,0,2019-06-12 11-01-38,146,0,2019-06-12 11-01-38,146,0,2019-06-12 11-01-38,147,0,
2019-06-12 11-01-39,145,0,2019-06-12 11-01-39,146,0,2019-06-12 11-01-39,148,0,2019-06-12 11-01-39,146,0,
2019-06-12 11-01-40,145,0,2019-06-12 11-01-40,145,0,2019-06-12 11-01-40,148,0,2019-06-12 11-01-40,146,0,
2019-06-12 11-01-41,146,0,2019-06-12 11-01-41,146,0,2019-06-12 11-01-41,147,0,2019-06-12 11-01-41,146,0,
2019-06-12 11-01-42,146,0,2019-06-12 11-01-42,146,0,2019-06-12 11-01-42,147,0,2019-06-12 11-01-42,146,0,
2019-06-12 11-01-43,146,0,2019-06-12 11-01-43,146,0,2019-06-12 11-01-43,146,0,2019-06-12 11-01-43,145,0,
2019-06-12 11-01-44,146,0,2019-06-12 11-01-44,146,0,2019-06-12 11-01-44,146,0,2019-06-12 11-01-44,146,0,
2019-06-12 11-01-45,145,0,2019-06-12 11-01-45,146,0,2019-06-12 11-01-45,146,0,2019-06-12 11-01-45,146,0,
2019-06-12 11-01-46,146,0,2019-06-12 11-01-46,146,0,2019-06-12 11-01-46,146,0,2019-06-12 11-01-46,145,0,
2019-06-12 11-01-47,145,0,2019-06-12 11-01-47,146,0,2019-06-12 11-01-47,146,0,2019-06-12 11-01-47,146,0,
2019-06-12 11-01-48,146,0,2019-06-12 11-01-48,146,0,2019-06-12 11-01-48,146,0,2019-06-12 11-01-48,146,0,
2019-06-12 11-01-49,146,0,2019-06-12 11-01-49,146,0,2019-06-12 11-01-49,146,0,2019-06-12 11-01-49,146,0,
2019-06-12 11-01-50,145,0,2019-06-12 11-01-50,146,0,2019-06-12 11-01-50,145,0,2019-06-12 11-01-50,146,0,
2019-06-12 11-01-51,146,0,2019-06-12 11-01-51,146,0,2019-06-12 11-01-51,146,0,2019-06-12 11-01-51,146,0,
2019-06-12 11-01-52,146,0,2019-06-12 11-01-52,146,0,2019-06-12 11-01-52,146,0,2019-06-12 11-01-52,146,0,
2019-06-12 11-01-53,146,0,2019-06-12 11-01-53,146,0,2019-06-12 11-01-53,146,0,2019-06-12 11-01-53,146,0,
2019-06-12 11-01-54,146,0,2019-06-12 11-01-54,146,0,2019-06-12 11-01-54,146,0,2019-06-12 11-01-54,146,0,
